Movie Title,Release Date,Wikipedia URL,Genre,Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue,profit,director,return on investment,year
Fun Size,26-10-2012,https://en.wikipedia.org/wiki/Fun_Size,Comedy,Victoria Justice,Jane Levy,Thomas McDonell,Thomas Mann,Chelsea Handler,14000000,11400000,-2600000,Josh Schwartz,-18.57%,2012
Fury,15-10-2014,https://en.wikipedia.org/wiki/Fury_(2014_film),Action,Brad Pitt,Shia LaBeouf,Logan Lerman,Michael PeÃ±a,Jon Bernthal,68000000,211800000,143800000,David Ayer,211.47%,2014
G.I. Joe: Retaliation,27-03-2013,https://en.wikipedia.org/wiki/G.I._Joe:_Retaliation,Action,Channing Tatum,Ray Park,Dwayne Johnson,Bruce Willis,Elodie Yung,130000000,375700000,245700000,Jon Chu,189.00%,2013
Gangster Squad,11-01-2013,https://en.wikipedia.org/wiki/Gangster_Squad,Action,Ryan Gosling,Emma Stone,Sean Penn,Josh Brolin,Robert Patrick,75000000,105200000,30200000,Ruben Fleischer,40.27%,2013
Get Hard,27-03-2015,https://en.wikipedia.org/wiki/Get_Hard,Comedy,Will Ferrell,Kevin Hart,Alison Brie,Craig T. Nelson,T.I.,40000000,111800000,71800000,Etan Cohen,179.50%,2015
Get on Up,01-08-2014,https://en.wikipedia.org/wiki/Get_on_Up_(film),Drama,Chadwick Boseman,Nelsan Ellis,Brandon Mychal Smith,Jill Scott,Tika Sumpter,30000000,33400000,3400000,Tate Taylor,11.33%,2014
Getaway,30-08-2013,https://en.wikipedia.org/wiki/Getaway_(film),Action,Ethan Hawke,Selena Gomez,Jon Voight,James Maslow,unknown,18000000,11800000,-6200000,Courtney Solomon,-34.44%,2013
Ghost Rider: Spirit of Vengeance,17-02-2012,https://en.wikipedia.org/wiki/Ghost_Rider:_Spirit_of_Vengeance,Action,Nicolas Cage,Idris Elba,Fergus Riordan,CiarÃ¡n Hinds,Violante Placido,57000000,132600000,75600000,Mark Neveldine,132.63%,2012
Ghostbusters,15-07-2016,https://en.wikipedia.org/wiki/Ghostbusters_(2016_film),Comedy,Melissa McCarthy,Kristen Wiig,Leslie Jones,Kate McKinnon,Chris Hemsworth,144000000,217500000,73500000,Paul Feig,51.04%,2016
God's Not Dead,21-03-2014,https://en.wikipedia.org/wiki/God%2527s_Not_Dead_(film),Religious,Willie Robertson,David A. R. White,Shane Harper,Kevin Sorbo,Korie Robertson,2000000,62600000,60600000,Harold Cronk,3030.00%,2014
God's Not Dead 2,01-04-2016,https://en.wikipedia.org/wiki/God%2527s_Not_Dead_2,Religious,Melissa Joan Hart,David A. R. White,Ray Wise,Robin Givens,Ernie Hudson,5000000,23500000,18500000,Harold Cronk,370.00%,2016
Gods of Egypt,25-02-2016,https://en.wikipedia.org/wiki/Gods_of_Egypt_(film),Action,Geoffrey Rush,Gerard Butler,Brenton Thwaites,Courtney Eaton,Nikolaj Coster-Waldau,140000000,145700000,5700000,Alex Proyas,4.07%,2016
Godzilla,08-05-2014,https://en.wikipedia.org/wiki/Godzilla_(2014_film),Action,Aaron Taylor-Johnson,Ken Watanabe,Elizabeth Olsen,Bryan Cranston,Juliette Binoche,160000000,529000000,369000000,Gareth Edwards,230.63%,2014
Gone Girl,26-09-2014,https://en.wikipedia.org/wiki/Gone_Girl_(film),Mystery,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,Kim Dickens,61000000,369300000,308300000,David Fincher,505.41%,2014
Good Deeds,24-02-2012,https://en.wikipedia.org/wiki/Good_Deeds,Romance,Tyler Perry,Thandie Newton,Rebecca Romijn,Brian J. White,Jamie Kennedy,14000000,35600000,21600000,Tyler Perry,154.29%,2012
Goosebumps,05-10-2015,https://en.wikipedia.org/wiki/Goosebumps_(film),Action,Jack Black,Dylan Minnette,Odeya Rush,Amy Ryan,Ryan Lee,84000000,150200000,66200000,Rob Letterman,78.81%,2015
Grown Ups 2,12-07-2013,https://en.wikipedia.org/wiki/Grown_Ups_2,Comedy,Adam Sandler,Kevin James,Chris Rock,David Spade,Taylor Lautner,80000000,247000000,167000000,Dennis Dugan,208.75%,2013
"Hail, Caesar!",05-02-2016,"https://en.wikipedia.org/wiki/Hail,_Caesar!",Comedy,Josh Brolin,George Clooney,Alden Ehrenreich,Ralph Fiennes,Jonah Hill,22000000,22000000,0,Joel and Ethan Coen,0.00%,2016
Hands of Stone,26-08-2016,https://en.wikipedia.org/wiki/Hands_of_Stone,Biography,Édgar Ramírez,Robert De Niro,Usher,Ellen Barkin,Ana de Armas,20000000,1700000,-18300000,Jonathan Jakubowicz,-91.50%,2016
Hansel and Gretel: Witch Hunters,17-01-2013,https://en.wikipedia.org/wiki/Hansel_and_Gretel:_Witch_Hunters,Action,Jeremy Renner,Gemma Arterton,Zoe Bell,Famke Janssen,Peter Stormare,50000000,226300000,176300000,Tommy Wirkola,352.60%,2013
Heaven Is for Real,16-04-2014,https://en.wikipedia.org/wiki/Heaven_Is_for_Real_(film),Religious,Greg Kinnear,Kelly Reilly,Connor Corum,Thomas Haden Church,Jacob Vargas,12000000,101300000,89300000,Randall Wallace,744.17%,2014
